Month,DL 1RM,DL 3RM,DL 5RM,SQ 1RM,SQ 3RM,SQ 5RM,BP 1RM,BP 3RM,BP 5RM,Pull-ups,Dips
2026-01-01,204,193,177,138,131,120,152,144,132,3,1
2026-02-01,220,209,191,150,142,130,162,154,141,4,3
2026-03-01,238,226,207,162,154,141,172,163,150,5,4
2026-04-01,255,242,222,172,163,150,182,173,158,6,5
2026-05-01,270,256,235,182,173,158,190,180,165,7,6
2026-06-01,280,266,244,190,180,165,198,188,172,8,8
2026-07-01,290,275,252,198,188,172,204,194,177,9,10
2026-08-01,300,285,261,205,195,178,210,199,183,10,10
2026-09-01,308,292,268,212,201,184,215,204,187,10,10
2026-10-01,315,299,274,218,207,190,218,207,190,10,10
2026-11-01,315,299,274,222,211,193,222,211,193,10,10
2026-12-01,315,299,274,225,214,196,225,214,196,10,10
