date,session,duration_min,fatigue,sweat,bodyweight_lbs,deload,flags,note
2026-08-04,heavy-upper,,5,high,,,,"Exhausted by the end, and sweated a lot more than normal."
2026-08-05,heavy-lower,,,,,,lower-back,"Felt the lower back strain the next day, not during. Probably the trap bar or the Smith squat."
2026-08-08,light-upper,,,,,,lower-back,"First session after two days off for the back. Cut the cable row and did a third set of pullups to make up for it. Kept the pulldown because no chest-supported row was free. Curls and Y raises had to be standing because of the equipment, which made the low back work."
2026-08-09,conditioning,50,4,high,,,,"Sled only, 50 minutes at full resistance, on the first morning the back felt normal. Tiring and sweaty even with no lifting."
2026-08-13,full-body,,,,,,upper-traps,"Only chance to train this week, so one full-body session: sled, jumps, trap bar, bench, pullups, squat, dips. Did pullups before squats by choice. Trap bar 240 for 2x5 felt quite easy and the back said nothing. Bench at 150 instead of 155 because the plates weren't there. Pullups quite hard. Upper traps worked hard again."
2026-08-15,stretch,15,,,,,,"Away routine, all seven items, about 15 minutes. No bells on the trip, so those were swapped for other moves rather than skipped. From the foot block, only did the supinated calf raise, as part of the calf raises."
2026-08-16,stretch,15,,,,,,"Away routine again, all seven items, 15 minutes. No bells. Foot block not noted."
2026-08-18,stretch,,,,,,,"Away routine. Logged a day late with no details, so the sets are the plan's doses. No bells."
2026-08-19,stretch,,,,,,,"Away routine, fourth time this trip. No details, so the sets are the plan's doses. No bells."
2026-08-20,heavy-lower,,3,normal,,,,"First heavy lower in 15 days. The Smith machine was taken, the lying leg curl was broken, and the sled was gone by the end. Trap bar 260 for a clean 2x5, medium-hard with some left, so I'm back to the pre-trip weight. Wiped out right after the deadlifts but recovered by the end. Back fine, still fine that evening. Decent sweat."
2026-08-22,light-upper,,4,,,,,"Pullup test: 8 reps, up from 7 on Aug 1, a new best. It cost the rest of the session. The second pullup set was 3, and bench went 8, 7, then 3 at 130, 18 of the planned 24 reps. Both pulls went as written at 130 for the first time since the back strain. Ran out of time for the fly and dips. Only 455 kcal all day before this, a protein bar and twelve Sour Patch Kids, which didn't help."
2026-08-22,basketball,,,,,,,Shot around a bit. No time noted.
2026-08-23,light-lower,,3,,,,,"First light lower logged. Did the jumps after the lifts instead of first, and the depth jumps after the weighted ones, which is backwards. The sled was rained out. The back was sore this morning but fine the whole session. Every weight felt easy (210 trap bar, 150 Smith, first time on the leg curl at 110), but I felt sluggish, probably from the big brunch. Fatigue was logged as 2 at first and changed to 3 for the sluggishness."
2026-08-26,heavy-upper,65,4,,,,,"First heavy upper since Aug 4, after three rest days. Bench 160 x 5, up 5 and my heaviest real bench; felt not too bad. The 20 lb dumbbells were gone, so the Y raise became a cable lateral raise at 12.5 for 4 and 3. Everything else as written, and dips back to 10. Fine during, very tired right at the end. 65 minutes."
2026-08-28,heavy-lower,,3,,,,neck,"First heavy lower that went exactly as written, every slot and both sled bouts. Trap bar 270 for 2x5, a 10 lb jump when the plan says 2.5-5. Smith squat 175 finally a clean 2x5, and leg curl up to 120. Felt a pinch during the deadlifts, first noted as traps and corrected that evening to the bony back of the neck. Probably my head coming up under a weight I jumped to too fast. Both main lifts felt tired but not horrendous."
2026-08-30,light-upper,,2,,,,,"Bench 135 for 8-8-8, the first time I've done the full 3 x 8. First set easy, second hard, third close to failure. No sled, so a few minutes on the elliptical. Dips station was taken, so no dips, and skipped the optional fly. Back was sore this morning but nothing came up during the session. Not very tired, but a big pump in the arms."
2026-09-14,heavy-lower,,,,,,lower-back,"First lifting since Aug 30. Trap bar 270 went 5, then I stopped at 2 with more in the tank because the back isn't 100%. Smith squat 185 for 2x5, up 10. Leg curl 120 for 2x5. Walked backwards on the treadmill instead of the sled, and skipped the jumps, pullups and finisher. Didn't note belt or no belt."
2026-09-17,heavy-upper,,,,,,,"First heavy upper since Aug 26, on five hours of sleep. The bench was taken, so I used the Life Fitness lying chest press: 160 x 1, 150 x 5, 140 x 5. Machine pounds aren't barbell pounds, so it doesn't count as a bench and can't say whether the bench moved. Everything else matched last time after 18 days off. Still owe the 165 x 5; next heavy upper is Sep 21."
2026-09-19,light-lower,,,,,,,"The Sep 18 light lower, a day late because work took Friday. Trap bar 220 and Smith squat 150, both 2x5 and both about 81% of the Sep 14 numbers, which is right for a light day. First full 2x5 on the trap bar since the layoff. Jumps first and in the right order. Leg curl was 120 then 110 when the plan said 110 twice. Backwards treadmill for the sled, no rim for the approach jumps, no finisher, skipped the optional pullups, and added clamshells to the warmup."
2026-09-20,other,40,,,,,,40 minutes learning to ride a bike. Logged as other rather than conditioning because it's practice more than cardio. Skipped the optional off day.
2026-09-21,heavy-upper,,,,,,,"Bench 165 x 5, my heaviest yet. Barely got it, and both back-offs were super hard. But it was my first barbell bench in 26 days, the rest of the session felt fine, and a work emergency had me rushing. Skipped dips because of it. Cable row was 2 x 6 at 130 because the stack has no 135. Next heavy upper should repeat 165 instead of the planned 170 (the plan hasn't been updated yet)."
