date,exercise,type,focus,setting,day
2025-02-20,Pullups,Warmup,"Back, Biceps",2/3 Reps,Pull
2025-02-20,Lat Pull,Compound,Latissimus Dorsi,6 Reps at 11,Pull
2025-02-20,Cable Row,Compound,"Upper Back, Biceps",6 Reps at 10,Pull
2025-02-20,Bicep Curl,Isolation,Bicep Curls,5 Reps at 25 lbs,Pull
2025-02-20,Cable Rear Delt Fly,Isolation,Posterior Deltoids,10 reps at 7.5 lbs,Pull
2025-02-20,Shoulder Shrugs,Isolation,Trapezius,16 reps at 25 lbs,Pull
2025-02-20,Side Bends,Core,Obliques,16 reps at 25 lbs,Pull
2025-02-20,Hor. Cable Wood Chop,Core,Rotational Core,6 Reps at 32.5 lbs,Pull
2025-02-21,Push-ups,Warmup,"Chest, Shoulders, Triceps",30 Reps,Push
2025-02-21,Bench Press,Compound,"Chest, Triceps",6 Reps at 10,Push
2025-02-21,Shoulder Press,Compound,"Shoulders, Triceps",6 Reps at 8,Push
2025-02-21,Dumbell Lat Raise,Isolation,Lateral Deltoids,6 Reps at 15 lbs,Push
2025-02-21,Cable Fly,Isolation,Chest,10 Reps at 12.5 lbs,Push
2025-02-21,Low-High Cable Fly,Isolation,Upper Chest,6 Reps at 17.5 lbs,Push
2025-02-21,Cable Lat Raise,Isolation,Lateral Deltoids,3 Reps at 12.5 lbs,Push
2025-02-22,Knees over Toes,Mobility,Knee Stability,8 Reps at ~1/2,Legs
2025-02-22,Nordic Hamstring Curl,Isolation,Hamstrings,5 Reps at 75 deg,Legs
2025-02-22,Calf Raises,Isolation,Calves,27 Reps,Legs
2025-02-22,Leg Raise,Core,Lower Abs,15 Reps,Legs
2025-02-22,Decline Crunches,Core,Upper Abs,16 Reps at 10 lbs,Legs
2025-02-22,Cable Hip Extension,Isolation,Glutes,10 Reps at 22.5 lbs,Legs
2025-02-25,Cable Row,Compound,"Upper Back, Biceps",6 Reps at 11,Pull
2025-02-26,Bench Press,Compound,"Chest, Triceps",6 Reps at 12,Push
2025-02-28,Smith Machine Squat,Isolation,"Quads, Glute, Core",6 Reps at 60 lbs,Legs
2025-02-28,Decline Crunches,Core,Upper Abs,18 Reps at 10 lbs,Legs
2025-02-28,Romanian Deadlift,Compound,"Posterior Chain, Hamstrings",7 reps at 90 lbs,Legs
2025-02-28,Calf Raises,Isolation,Calves,33 Reps,Legs
2025-03-02,Lat Pull,Compound,Latissimus Dorsi,6 Reps at 12,Pull
2025-03-02,Shoulder Shrugs,Isolation,Trapezius,16 Reps at 30 lbs,Pull
2025-03-02,Side Bends,Core,Obliques,16 Reps at 30 lbs,Pull
2025-03-03,Dumbell Lat Raise,Isolation,Lateral Deltoids,7 Reps at 15 lbs,Push
2025-03-03,Cable Fly,Isolation,Chest,6 Reps at 17.5 lbs,Push
2025-03-03,Cable Lat Raise,Isolation,Lateral Deltoids,4 Reps at 12.5 lbs,Push
2025-03-09,Romanian Deadlift,Compound,"Posterior Chain, Hamstrings",11 reps at 110 lbs,Legs
2025-03-17,Bench Press,Compound,"Chest, Triceps",6 Reps at 13,Push
