date,session,phase,deload,optional,trap_bar,squat,leg_curl,weighted_jumps,bench,bench_backoff,pullups,cable_row,lat_pulldown,preacher_curl,y_raise,cable_fly,dips,milestone,note
2026-09-07,stretch,break,yes,,,,,,,,,,,,,,,,"Away routine plus the trunk block and the bracing drill, about 20 minutes. Counts toward the deload."
2026-09-08,stretch,break,yes,,,,,,,,,,,,,,,,Away routine plus the trunk block.
2026-09-09,stretch,break,yes,,,,,,,,,,,,,,,,Away routine plus the trunk block.
2026-09-10,stretch,break,yes,,,,,,,,,,,,,,,,Away routine plus the trunk block.
2026-09-11,stretch,break,yes,,,,,,,,,,,,,,,,Away routine plus the trunk block.
2026-09-12,stretch,break,yes,,,,,,,,,,,,,,,,Away routine plus the trunk block.
2026-09-13,stretch,break,yes,,,,,,,,,,,,,,,,Away routine plus the trunk block.
2026-09-14,heavy-lower,return,,,270,185,120,,,,"2×4 easy, optional",,,,,,,,"First session in the belt. Trap bar at 270, the weight behind the September soreness, belted this time. Squat 185. Ramp up beltless first: 135, 185, 225 on the trap bar, 95 and 135 on the squat. Chin tucked, eyes two metres ahead. Sled to finish only if the deadlifts felt fine."
2026-09-15,rest,return,,,,,,,,,,,,,,,,,"No training. Check in on the back tomorrow morning, good or bad."
2026-09-16,rest,return,,,,,,,,,,,,,,,,,No training. Trunk block if there are five minutes.
2026-09-17,heavy-upper,return,,,,,,,165,150,2×5,,,,,,,,"Bench 165 × 5, earned by the 160 on Aug 26, then 150 for the back-offs. Do a fourth set if the third is easy; bench needs the volume."
2026-09-18,off-a,return,,yes,,,,,,,,,,,,,,,"If there's 15 minutes. Swapped with the light lower: work took the 18th, so the gym went to Saturday the 19th. Nothing else moves. The heavy upper is still Monday and the belt jump still Tuesday, the day before the trip."
2026-09-19,light-lower,return,,,220,150,110,,,,"2×4 easy, optional",,,,,,,,"Beltless. Jumps first: depth jumps, then weighted jumps, then the lifts, moving fast. Approach jumps if there's a rim. Moved from Friday, which work took. A light day on the weekend is what the fasted-weekend rule wants anyway."
2026-09-20,off-b,return,,yes,,,,,,,,,,,,,,,If there's 15 minutes.
2026-09-21,heavy-upper,return,,,,,,,165,150,2×5,135,130,25,20,,1×10,,"A second heavy upper instead of a light one, because the trip keeps me off the bench for ten days and bench needs the volume. 165 again, four sets. The pullup test waits for Oct 4."
2026-09-22,heavy-lower,return,,,280,195,120×6,,,,"2×4 easy, optional",,,,,,,Belt jump: the one 10 lb step,"The belt jump, once, the day before the trip. Only if the 14th went well and the back was quiet on the 15th and 16th. If not, repeat 270 and 185 and push every later row back a week. Report on the back on the 23rd and 24th from the road."
2026-09-23,stretch,trip,,,,,,,,,,,,,,,,,"Away routine plus the trunk block. A maintenance week, not a deload."
2026-09-24,stretch,trip,,,,,,,,,,,,,,,,,Away routine plus the trunk block.
2026-09-25,stretch,trip,,,,,,,,,,,,,,,,,Away routine plus the trunk block.
2026-09-26,stretch,trip,,,,,,,,,,,,,,,,,Away routine plus the trunk block.
2026-09-27,stretch,trip,,,,,,,,,,,,,,,,,Away routine plus the trunk block.
2026-09-28,stretch,block-1,,,,,,,,,,,,,,,,,"Stretch under tension, or a 30-minute walk if wrecked."
2026-09-29,heavy-lower,block-1,,,270,195,120×6,,,,"2×4 easy, optional",,,,,,,,"First heavy lower after the trip. Trap bar back to 270 for 2 × 5: 280 went once on the 22nd, but the 260 back-off lost form, so it climbs in fives from here. The squat takes the jump it skipped on the 22nd, 195, if the back was quiet on the 23rd and 24th; if not, 185."
2026-09-30,off-a,block-1,,,,,,,,,,,,,,,,,
2026-10-01,heavy-upper,block-1,,,,,,,170,155,2×5,140,130,30,20,,1×10,,Bench 170 if the two 165s moved well. Back-offs 155.
2026-10-02,off-b,block-1,,,,,,,,,,,,,,,,,Or basketball instead.
2026-10-03,light-lower,block-1,,,225,160,110×6,20,,,"2×4 easy, optional",,,,,,,,"Fasted, beltless, jumps first. Focus on bar speed, not weight."
2026-10-04,light-upper,block-1,,,,,,,140,,test (9),140,130×6,30,20,35,1×10,,"First weekend light upper. Pullup test as the first set, six weeks after the 8 on Aug 22: nine is the target. Bench to 140 for the 3 x 8 if the 135s on Aug 30 left room."
2026-10-05,stretch,block-1,,,,,,,,,,,,,,,,,"Stretch under tension, or a 30-minute walk if wrecked."
2026-10-06,heavy-lower,block-1,,,275,200,130,,,,"2×4 easy, optional",,,,,,,,Last heavy lower before the deload. 275 and 200.
2026-10-07,off-a,block-1,,,,,,,,,,,,,,,,,
2026-10-08,heavy-upper,block-1,,,,,,,175,160,2×5,140×6,130×6,30,20,,1×10,,
2026-10-09,off-b,block-1,,,,,,,,,,,,,,,,,Or basketball instead.
2026-10-10,light-lower,block-1,,,225,165,120,20,,,"2×4 easy, optional",,,,,,,,"Fasted, beltless, jumps first. Focus on bar speed, not weight."
2026-10-11,light-upper,block-1,,,,,,,140,,2 sets,140×6,140,30,20,35,1×10,,"Fasted. Keep the 3 x 8 smooth, no grinding."
2026-10-12,heavy-upper,deload,yes,,,,,,150,135,2×4,120,120,25,15,,1×8,,"Deload week, set so the Oct 14–16 off days fall inside it. Heavy upper on Monday because I'm away the back half of the week; the day after Sunday's light upper is fine at deload weight. 150 then 135, no fourth set."
2026-10-13,heavy-lower,deload,yes,,235,170,110,,,,"2×4 easy, optional",,,,,,,,"Deload heavy lower: 235 and 170, belt on as on any heavy day. This is for the joints, not the numbers."
2026-10-14,rest,deload,yes,,,,,,,,,,,,,,,,Away. Trunk block if there is a floor.
2026-10-15,rest,deload,yes,,,,,,,,,,,,,,,,"Away. If there's a gym, do Saturday's light lower here at deload weight: trap bar 190, squat 135, beltless."
2026-10-16,rest,deload,yes,,,,,,,,,,,,,,,,Away. Trunk block if there is a floor.
2026-10-17,light-lower,deload,yes,,190,135,100,15,,,"2×4 easy, optional",,,,,,,,"Deload light lower, fasted and beltless. Skip if I got to a gym Thursday."
2026-10-18,light-upper,deload,yes,,,,,,125,,2 sets,120,120,25,15,30,1×8,,"Deload light upper, 125 for the 3 x 8. Block 2 starts tomorrow."
2026-10-19,stretch,block-2,,,,,,,,,,,,,,,,,"Stretch under tension, or a 30-minute walk if wrecked."
2026-10-20,heavy-lower,block-2,,,280,205,130,,,,"2×4 easy, optional",,,,,,,,"First heavy lower after the deload, when the bar should move faster. 280 and 205."
2026-10-21,off-a,block-2,,,,,,,,,,,,,,,,,
2026-10-22,heavy-upper,block-2,,,,,,,175,160,2×5,140×6,140,35,20,,1×10,,Bench stays at 175 after the deload; it goes up next week.
2026-10-23,off-b,block-2,,,,,,,,,,,,,,,,,Or basketball instead.
2026-10-24,light-lower,block-2,,,230,170,120,20,,,"2×4 easy, optional",,,,,,,,"Fasted, beltless, jumps first. Focus on bar speed, not weight."
2026-10-25,light-upper,block-2,,,,,,,140,,test (9–10),140×6,140×6,35,20,35,1×10,,"Pullup test as the first set, three weeks after Oct 4. Nine keeps it on track; ten closes the goal early."
2026-10-26,stretch,block-2,,,,,,,,,,,,,,,,,"Stretch under tension, or a 30-minute walk if wrecked."
2026-10-27,heavy-lower,block-2,,,285,210,130×6,,,,"2×4 easy, optional",,,,,,,,285 and 210.
2026-10-28,off-a,block-2,,,,,,,,,,,,,,,,,
2026-10-29,heavy-upper,block-2,,,,,,,180,165,2×5,150,140×6,35,20,,1×10,,"Bench 180, back-offs 165."
2026-10-30,off-b,block-2,,,,,,,,,,,,,,,,,Or basketball instead.
2026-10-31,light-lower,block-2,,,235,175,120,20,,,"2×4 easy, optional",,,,,,,,"Fasted, beltless, jumps first. Focus on bar speed, not weight."
2026-11-01,light-upper,block-2,,,,,,,145,,2 sets,150,150,35,20,35,1×10,,"Fasted. Keep the 3 x 8 smooth, no grinding."
2026-11-02,stretch,block-2,,,,,,,,,,,,,,,,,"Stretch under tension, or a 30-minute walk if wrecked."
2026-11-03,heavy-lower,block-2,,,290,215,130×6,,,,"2×4 easy, optional",,,,,,,,290 and 215.
2026-11-04,off-a,block-2,,,,,,,,,,,,,,,,,
2026-11-05,heavy-upper,block-2,,,,,,,185,170,2×5,150×6,150,35,20,,1×10,,"Bench 185, back-offs 170."
2026-11-06,off-b,block-2,,,,,,,,,,,,,,,,,Or basketball instead.
2026-11-07,light-lower,block-2,,,240,175,120×6,20,,,"2×4 easy, optional",,,,,,,,"Fasted, beltless, jumps first. Focus on bar speed, not weight."
2026-11-08,light-upper,block-2,,,,,,,145,,test (10),150×6,150,35,20,35,1×10,Pullups 10 — goal,Pullup test as the first set. Ten closes the goal; nine means test again Nov 15.
2026-11-09,stretch,block-2,,,,,,,,,,,,,,,,,"Stretch under tension, or a 30-minute walk if wrecked."
2026-11-10,heavy-lower,block-2,,,295,220,140,,,,"2×4 easy, optional",,,,,,,,"295 and 220, one step from both goals."
2026-11-11,off-a,block-2,,,,,,,,,,,,,,,,,
2026-11-12,heavy-upper,block-2,,,,,,,185,170,2×5,150×6,150,35,20,,1×10,,Bench stays at 185; it goes up next week.
2026-11-13,off-b,block-2,,,,,,,,,,,,,,,,,Or basketball instead.
2026-11-14,light-lower,block-2,,,245,180,120×6,20,,,"2×4 easy, optional",,,,,,,,"Fasted, beltless, jumps first. Focus on bar speed, not weight."
2026-11-15,light-upper,block-2,,,,,,,145,,"test, if 10 is still open",150×6,150×6,35,20,35,1×10,,"Fasted. Keep the 3 x 8 smooth, no grinding."
2026-11-16,stretch,block-2,,,,,,,,,,,,,,,,,"Stretch under tension, or a walk. Trap bar and squat goals tomorrow."
2026-11-17,heavy-lower,block-2,,,300,225,140,,,,"2×4 easy, optional",,,,,,,"Trap bar 300 × 5 and squat 225 × 5 — goals, and the end of the last stretch","Trap bar 300 and squat 225 for 2 × 5, the last two goals if everything's gone well. If they land, the last stretch is done and the next block is cardio, whatever the bench is doing. If not, the rows after this repeat the same weights."
2026-11-18,off-a,contingency,,,,,,,,,,,,,,,,,
2026-11-19,heavy-upper,contingency,,,,,,,190,175,2×5,160,150×6,40,20,,1×10,,"Bench 190, back-offs 175."
2026-11-20,off-b,contingency,,,,,,,,,,,,,,,,,Or basketball instead.
